"SystemTime","NodeIp","IpNeighbor","linkQuality"
1466418473,"10.0.0.4","10.0.0.3",0.886
1466418473,"10.0.0.4","10.0.0.3",0.886
1466418473,"10.0.0.4","10.0.0.3",0.776
1466418473,"10.0.0.4","10.0.0.3",1
1466418473,"10.0.0.4","10.0.0.5",0.94
1466418473,"10.0.0.4","10.0.0.5",0.831
1466418473,"10.0.0.4","10.0.0.5",1
1466418473,"10.0.0.5","10.0.0.3",1
1466418473,"10.0.0.5","10.0.0.3",0.776
1466418473,"10.0.0.5","10.0.0.3",0.839
1466418473,"10.0.0.5","10.0.0.3",0.886
1466418473,"10.0.0.5","10.0.0.4",0.643
1466418473,"10.0.0.5","10.0.0.4",0.446
1466418473,"10.0.0.5","10.0.0.6",0.721
1466418473,"10.0.0.5","10.0.0.6",0.553
1466418474,"10.0.0.1","10.0.0.2",1
1466418474,"10.0.0.1","10.0.0.2",0.839
1466418474,"10.0.0.3","10.0.0.2",0.886
1466418474,"10.0.0.3","10.0.0.2",1
1466418474,"10.0.0.3","10.0.0.4",0.643
1466418474,"10.0.0.3","10.0.0.4",0.497
1466418474,"10.0.0.3","10.0.0.5",0.948
1466418474,"10.0.0.3","10.0.0.5",1
1466418474,"10.0.0.3","10.0.0.5",0.839
1466418474,"10.0.0.3","10.0.0.6",0.553
1466418474,"10.0.0.3","10.0.0.6",0.721
1466418475,"10.0.0.2","10.0.0.1",0.94
1466418475,"10.0.0.2","10.0.0.3",0.839
1466418475,"10.0.0.2","10.0.0.3",0.886
1466418475,"10.0.0.2","10.0.0.3",1
1466418475,"10.0.0.2","10.0.0.3",0.776
1466418476,"10.0.0.6","10.0.0.3",0.886
1466418476,"10.0.0.6","10.0.0.3",1
1466418476,"10.0.0.6","10.0.0.3",0.886
1466418476,"10.0.0.6","10.0.0.3",0.831
1466418476,"10.0.0.6","10.0.0.5",0.94
1466418476,"10.0.0.6","10.0.0.5",1
1466418476,"10.0.0.6","10.0.0.5",0.839
1466418504,"10.0.0.4","10.0.0.3",1
1466418504,"10.0.0.4","10.0.0.3",1
1466418504,"10.0.0.4","10.0.0.3",0.94
1466418504,"10.0.0.4","10.0.0.3",0.831
1466418504,"10.0.0.4","10.0.0.5",1
1466418504,"10.0.0.4","10.0.0.5",1
1466418504,"10.0.0.4","10.0.0.5",0.944
1466418504,"10.0.0.5","10.0.0.3",1
1466418504,"10.0.0.5","10.0.0.3",0.94
1466418504,"10.0.0.5","10.0.0.3",0.831
1466418504,"10.0.0.5","10.0.0.3",1
1466418504,"10.0.0.5","10.0.0.4",0.831
1466418504,"10.0.0.5","10.0.0.4",0.94
1466418504,"10.0.0.5","10.0.0.6",0.944
1466418504,"10.0.0.5","10.0.0.6",0.643
1466418505,"10.0.0.1","10.0.0.2",1
1466418505,"10.0.0.1","10.0.0.2",1
1466418505,"10.0.0.3","10.0.0.2",1
1466418505,"10.0.0.3","10.0.0.2",1
1466418505,"10.0.0.3","10.0.0.4",0.94
1466418505,"10.0.0.3","10.0.0.4",0.831
1466418505,"10.0.0.3","10.0.0.5",1
1466418505,"10.0.0.3","10.0.0.5",1
1466418505,"10.0.0.3","10.0.0.5",0.886
1466418505,"10.0.0.3","10.0.0.6",0.94
1466418505,"10.0.0.3","10.0.0.6",0.576
1466418506,"10.0.0.2","10.0.0.1",1
1466418506,"10.0.0.2","10.0.0.3",1
1466418506,"10.0.0.2","10.0.0.3",0.94
1466418506,"10.0.0.2","10.0.0.3",0.662
1466418506,"10.0.0.2","10.0.0.3",1
1466418507,"10.0.0.6","10.0.0.3",1
1466418507,"10.0.0.6","10.0.0.3",0.94
1466418507,"10.0.0.6","10.0.0.3",0.662
1466418507,"10.0.0.6","10.0.0.3",1
1466418507,"10.0.0.6","10.0.0.5",1
1466418507,"10.0.0.6","10.0.0.5",0.886
1466418507,"10.0.0.6","10.0.0.5",1
1466418532,"10.0.0.2","10.0.0.1",1
1466418532,"10.0.0.2","10.0.0.3",0.937
1466418532,"10.0.0.2","10.0.0.3",0.576
1466418532,"10.0.0.2","10.0.0.3",1
1466418532,"10.0.0.2","10.0.0.3",0.662
1466418532,"10.0.0.6","10.0.0.3",0.576
1466418532,"10.0.0.6","10.0.0.3",0.937
1466418532,"10.0.0.6","10.0.0.3",1
1466418532,"10.0.0.6","10.0.0.3",0.662
1466418532,"10.0.0.6","10.0.0.5",0.878
1466418532,"10.0.0.6","10.0.0.5",0.831
1466418532,"10.0.0.6","10.0.0.5",1
1466418535,"10.0.0.4","10.0.0.3",0.576
1466418535,"10.0.0.4","10.0.0.3",0.937
1466418535,"10.0.0.4","10.0.0.3",0.662
1466418535,"10.0.0.4","10.0.0.3",1
1466418535,"10.0.0.4","10.0.0.5",0.831
1466418535,"10.0.0.4","10.0.0.5",0.878
1466418535,"10.0.0.4","10.0.0.5",1
1466418535,"10.0.0.5","10.0.0.3",0.937
1466418535,"10.0.0.5","10.0.0.3",1
1466418535,"10.0.0.5","10.0.0.3",0.576
1466418535,"10.0.0.5","10.0.0.3",0.662
1466418535,"10.0.0.5","10.0.0.4",0.894
1466418535,"10.0.0.5","10.0.0.4",0.839
1466418535,"10.0.0.5","10.0.0.6",0.732
1466418535,"10.0.0.5","10.0.0.6",1
1466418536,"10.0.0.1","10.0.0.2",1
1466418536,"10.0.0.1","10.0.0.2",1
1466418536,"10.0.0.3","10.0.0.2",1
1466418536,"10.0.0.3","10.0.0.2",1
1466418536,"10.0.0.3","10.0.0.4",0.894
1466418536,"10.0.0.3","10.0.0.4",0.894
1466418536,"10.0.0.3","10.0.0.5",0.839
1466418536,"10.0.0.3","10.0.0.5",0.878
1466418536,"10.0.0.3","10.0.0.5",1
1466418536,"10.0.0.3","10.0.0.6",1
1466418536,"10.0.0.3","10.0.0.6",0.886
1466418562,"10.0.0.1","10.0.0.2",1
1466418562,"10.0.0.1","10.0.0.2",1
1466418562,"10.0.0.3","10.0.0.2",1
1466418562,"10.0.0.3","10.0.0.2",1
1466418562,"10.0.0.3","10.0.0.4",1
1466418562,"10.0.0.3","10.0.0.4",1
1466418562,"10.0.0.3","10.0.0.5",0.944
1466418562,"10.0.0.3","10.0.0.5",1
1466418562,"10.0.0.3","10.0.0.5",1
1466418562,"10.0.0.3","10.0.0.6",1
1466418562,"10.0.0.3","10.0.0.6",0.937
1466418563,"10.0.0.2","10.0.0.1",1
1466418563,"10.0.0.2","10.0.0.3",1
1466418563,"10.0.0.2","10.0.0.3",1
1466418563,"10.0.0.2","10.0.0.3",1
1466418563,"10.0.0.2","10.0.0.3",0.662
1466418564,"10.0.0.6","10.0.0.3",1
1466418564,"10.0.0.6","10.0.0.3",1
1466418564,"10.0.0.6","10.0.0.3",0.721
1466418564,"10.0.0.6","10.0.0.3",1
1466418564,"10.0.0.6","10.0.0.5",1
1466418564,"10.0.0.6","10.0.0.5",1
1466418564,"10.0.0.6","10.0.0.5",1
1466418566,"10.0.0.4","10.0.0.3",1
1466418566,"10.0.0.4","10.0.0.3",1
1466418566,"10.0.0.4","10.0.0.3",1
1466418566,"10.0.0.4","10.0.0.3",0.662
1466418566,"10.0.0.4","10.0.0.5",0.944
1466418566,"10.0.0.4","10.0.0.5",1
1466418566,"10.0.0.4","10.0.0.5",1
1466418566,"10.0.0.5","10.0.0.3",1
1466418566,"10.0.0.5","10.0.0.3",0.662
1466418566,"10.0.0.5","10.0.0.3",1
1466418566,"10.0.0.5","10.0.0.3",1
1466418566,"10.0.0.5","10.0.0.4",1
1466418566,"10.0.0.5","10.0.0.4",1
1466418566,"10.0.0.5","10.0.0.6",0.937
1466418566,"10.0.0.5","10.0.0.6",1
1466418592,"10.0.0.4","10.0.0.3",0.623
1466418592,"10.0.0.4","10.0.0.3",1
1466418592,"10.0.0.4","10.0.0.3",1
1466418592,"10.0.0.4","10.0.0.3",1
1466418592,"10.0.0.4","10.0.0.5",1
1466418592,"10.0.0.4","10.0.0.5",1
1466418592,"10.0.0.4","10.0.0.5",1
1466418592,"10.0.0.5","10.0.0.2",1
1466418592,"10.0.0.5","10.0.0.2",1
1466418592,"10.0.0.5","10.0.0.3",1
1466418592,"10.0.0.5","10.0.0.3",0.623
