"SystemTime","IpAddress","Neighbor","meanLinkQuality"
1466418473,"10.0.0.4","10.0.0.3",0.887
1466418473,"10.0.0.5","10.0.0.3",0.87525
1466418473,"10.0.0.4","10.0.0.5",0.923666666666667
1466418473,"10.0.0.5","10.0.0.6",0.637
1466418473,"10.0.0.5","10.0.0.4",0.5445
1466418474,"10.0.0.1","10.0.0.2",0.9195
1466418474,"10.0.0.3","10.0.0.2",0.943
1466418474,"10.0.0.3","10.0.0.5",0.929
1466418474,"10.0.0.3","10.0.0.6",0.637
1466418474,"10.0.0.3","10.0.0.4",0.57
1466418475,"10.0.0.2","10.0.0.3",0.87525
1466418475,"10.0.0.2","10.0.0.1",0.94
1466418476,"10.0.0.6","10.0.0.3",0.90075
1466418476,"10.0.0.6","10.0.0.5",0.926333333333333
1466418504,"10.0.0.4","10.0.0.3",0.94275
1466418504,"10.0.0.5","10.0.0.3",0.94275
1466418504,"10.0.0.4","10.0.0.5",0.981333333333333
1466418504,"10.0.0.5","10.0.0.6",0.7935
1466418504,"10.0.0.5","10.0.0.4",0.8855
1466418505,"10.0.0.1","10.0.0.2",1
1466418505,"10.0.0.3","10.0.0.2",1
1466418505,"10.0.0.3","10.0.0.5",0.962
1466418505,"10.0.0.3","10.0.0.6",0.758
1466418505,"10.0.0.3","10.0.0.4",0.8855
1466418506,"10.0.0.2","10.0.0.3",0.9005
1466418506,"10.0.0.2","10.0.0.1",1
1466418507,"10.0.0.6","10.0.0.3",0.9005
1466418507,"10.0.0.6","10.0.0.5",0.962
1466418532,"10.0.0.2","10.0.0.3",0.79375
1466418532,"10.0.0.6","10.0.0.3",0.79375
1466418532,"10.0.0.2","10.0.0.1",1
1466418532,"10.0.0.6","10.0.0.5",0.903
1466418535,"10.0.0.4","10.0.0.3",0.79375
1466418535,"10.0.0.5","10.0.0.3",0.79375
1466418535,"10.0.0.4","10.0.0.5",0.903
1466418535,"10.0.0.5","10.0.0.6",0.866
1466418535,"10.0.0.5","10.0.0.4",0.8665
1466418536,"10.0.0.1","10.0.0.2",1
1466418536,"10.0.0.3","10.0.0.2",1
1466418536,"10.0.0.3","10.0.0.5",0.905666666666667
1466418536,"10.0.0.3","10.0.0.6",0.943
1466418536,"10.0.0.3","10.0.0.4",0.894
1466418562,"10.0.0.1","10.0.0.2",1
1466418562,"10.0.0.3","10.0.0.2",1
1466418562,"10.0.0.3","10.0.0.5",0.981333333333333
1466418562,"10.0.0.3","10.0.0.6",0.9685
1466418562,"10.0.0.3","10.0.0.4",1
1466418563,"10.0.0.2","10.0.0.3",0.9155
1466418563,"10.0.0.2","10.0.0.1",1
1466418564,"10.0.0.6","10.0.0.3",0.93025
1466418564,"10.0.0.6","10.0.0.5",1
1466418566,"10.0.0.4","10.0.0.3",0.9155
1466418566,"10.0.0.5","10.0.0.3",0.9155
1466418566,"10.0.0.4","10.0.0.5",0.981333333333333
1466418566,"10.0.0.5","10.0.0.6",0.9685
1466418566,"10.0.0.5","10.0.0.4",1
1466418592,"10.0.0.5","10.0.0.2",1
1466418592,"10.0.0.4","10.0.0.3",0.90575
1466418592,"10.0.0.5","10.0.0.3",0.87725
1466418592,"10.0.0.4","10.0.0.5",1
1466418592,"10.0.0.5","10.0.0.6",0.8565
1466418592,"10.0.0.5","10.0.0.4",1
1466418593,"10.0.0.1","10.0.0.2",1
1466418593,"10.0.0.3","10.0.0.2",1
1466418593,"10.0.0.3","10.0.0.5",1
1466418593,"10.0.0.3","10.0.0.6",0.8055
1466418593,"10.0.0.3","10.0.0.4",1
1466418594,"10.0.0.2","10.0.0.3",0.90575
1466418594,"10.0.0.2","10.0.0.1",1
1466418595,"10.0.0.6","10.0.0.3",0.839
1466418595,"10.0.0.6","10.0.0.5",1
1466418623,"10.0.0.5","10.0.0.2",1
1466418623,"10.0.0.4","10.0.0.3",0.82625
1466418623,"10.0.0.5","10.0.0.3",0.833
1466418623,"10.0.0.4","10.0.0.5",0.981333333333333
1466418623,"10.0.0.5","10.0.0.6",0.7075
1466418623,"10.0.0.5","10.0.0.4",0.819
1466418624,"10.0.0.1","10.0.0.2",1
1466418624,"10.0.0.3","10.0.0.2",1
1466418624,"10.0.0.3","10.0.0.5",0.981333333333333
1466418624,"10.0.0.3","10.0.0.6",0.7075
1466418624,"10.0.0.3","10.0.0.4",0.819
1466418625,"10.0.0.2","10.0.0.3",0.82625
1466418625,"10.0.0.2","10.0.0.1",1
1466418625,"10.0.0.2","10.0.0.5",0.981333333333333
1466418626,"10.0.0.6","10.0.0.3",0.83025
1466418626,"10.0.0.6","10.0.0.5",0.981333333333333
1466418654,"10.0.0.4","10.0.0.3",0.76825
1466418654,"10.0.0.5","10.0.0.3",0.72225
1466418654,"10.0.0.4","10.0.0.5",0.932
1466418654,"10.0.0.5","10.0.0.6",0.5325
1466418654,"10.0.0.5","10.0.0.4",0.8095
1466418655,"10.0.0.1","10.0.0.2",0.943
1466418655,"10.0.0.3","10.0.0.2",0.943
1466418655,"10.0.0.3","10.0.0.5",0.943666666666667
1466418655,"10.0.0.3","10.0.0.6",0.4265
1466418655,"10.0.0.3","10.0.0.4",0.782
1466418656,"10.0.0.2","10.0.0.3",0.711
1466418656,"10.0.0.2","10.0.0.1",1
1466418656,"10.0.0.2","10.0.0.5",0.943666666666667
1466418682,"10.0.0.2","10.0.0.3",0.635
1466418682,"10.0.0.2","10.0.0.1",1
1466418683,"10.0.0.6","10.0.0.3",0.68875
1466418683,"10.0.0.6","10.0.0.5",0.903
1466418685,"10.0.0.4","10.0.0.3",0.7005
1466418685,"10.0.0.5","10.0.0.3",0.7025
1466418685,"10.0.0.4","10.0.0.5",0.887333333333333
1466418685,"10.0.0.4","10.0.0.6",0.5235
1466418685,"10.0.0.5","10.0.0.6",0.5415
1466418685,"10.0.0.5","10.0.0.4",0.8585
1466418686,"10.0.0.1","10.0.0.2",0.943
1466418686,"10.0.0.3","10.0.0.2",0.943
1466418686,"10.0.0.3","10.0.0.5",0.881
1466418686,"10.0.0.3","10.0.0.6",0.5525
1466418686,"10.0.0.3","10.0.0.4",0.7525
1466418712,"10.0.0.1","10.0.0.2",0.97
1466418712,"10.0.0.3","10.0.0.2",0.97
1466418712,"10.0.0.3","10.0.0.5",0.812333333333333
1466418712,"10.0.0.3","10.0.0.6",0.6345
1466418712,"10.0.0.3","10.0.0.4",0.711
1466418713,"10.0.0.2","10.0.0.3",0.7115
1466418713,"10.0.0.2","10.0.0.1",1
1466418714,"10.0.0.6","10.0.0.3",0.7105
1466418714,"10.0.0.6","10.0.0.5",0.860333333333333
1466418716,"10.0.0.4","10.0.0.3",0.67825
1466418716,"10.0.0.5","10.0.0.3",0.67825
1466418716,"10.0.0.4","10.0.0.5",0.860333333333333
1466418716,"10.0.0.5","10.0.0.6",0.6345
1466418716,"10.0.0.5","10.0.0.4",0.6365
1466418743,"10.0.0.1","10.0.0.2",0.906
1466418743,"10.0.0.3","10.0.0.2",0.8605
1466418743,"10.0.0.3","10.0.0.5",0.828333333333333
1466418743,"10.0.0.3","10.0.0.6",0.5565
1466418743,"10.0.0.3","10.0.0.4",0.5445
1466418744,"10.0.0.2","10.0.0.3",0.73875
1466418744,"10.0.0.2","10.0.0.1",0.894
1466418762,"10.0.0.5","10.0.0.3",0.733
1466418762,"10.0.0.5","10.0.0.6",0.5075
1466418762,"10.0.0.5","10.0.0.4",0.625
1466418766,"10.0.0.6","10.0.0.3",0.71325
1466418766,"10.0.0.6","10.0.0.5",0.875333333333333
1466418773,"10.0.0.4","10.0.0.3",0.7075
1466418773,"10.0.0.5","10.0.0.3",0.7135
1466418773,"10.0.0.4","10.0.0.5",0.868666666666667
1466418773,"10.0.0.5","10.0.0.6",0.4425
1466418773,"10.0.0.5","10.0.0.4",0.637
1466418774,"10.0.0.1","10.0.0.2",0.9155
1466418774,"10.0.0.3","10.0.0.2",0.939
1466418774,"10.0.0.3","10.0.0.5",0.84
1466418774,"10.0.0.3","10.0.0.6",0.3755
1466418774,"10.0.0.3","10.0.0.4",0.5815
1466418775,"10.0.0.2","10.0.0.3",0.734
1466418775,"10.0.0.2","10.0.0.1",1
1466418776,"10.0.0.6","10.0.0.3",0.685
1466418776,"10.0.0.6","10.0.0.5",0.868666666666667
1466418802,"10.0.0.6","10.0.0.3",0.60875
1466418802,"10.0.0.6","10.0.0.5",0.823333333333333
1466418804,"10.0.0.4","10.0.0.3",0.61925
1466418804,"10.0.0.5","10.0.0.3",0.587
1466418804,"10.0.0.4","10.0.0.5",0.823333333333333
1466418804,"10.0.0.4","10.0.0.6",0.6075
