SystemTime,destinationIP,lastHopIP,linkQuality,neighborLinkQuality,tcEdgeCost,validityTime
1466418476,10.0.0.2,10.0.0.1,1,0.894,1145,275618
1466418476,10.0.0.1,10.0.0.2,0.94,1,1088,274893
1466418476,10.0.0.3,10.0.0.2,1,0.839,1220,274893
1466418476,10.0.0.2,10.0.0.3,0.839,1,1220,274950
1466418476,10.0.0.4,10.0.0.3,0.446,0.839,2729,274950
1466418476,10.0.0.5,10.0.0.3,0.94,0.886,1227,274950
1466418476,10.0.0.6,10.0.0.3,0.553,0.776,2385,274950
1466418476,10.0.0.3,10.0.0.4,0.886,0.419,2753,286050
1466418476,10.0.0.5,10.0.0.4,1,0.643,1592,286050
1466418476,10.0.0.3,10.0.0.5,0.886,0.94,1227,279432
1466418476,10.0.0.4,10.0.0.5,0.643,1,1592,279432
1466418476,10.0.0.6,10.0.0.5,0.721,0.831,1706,279432
1466418476,10.0.0.3,10.0.0.6,0.831,0.553,2227,0
1466418476,10.0.0.5,10.0.0.6,0.839,0.721,1691,0
1466418507,10.0.0.2,10.0.0.1,1,1,1024,280280
1466418507,10.0.0.1,10.0.0.2,1,1,1024,274190
1466418507,10.0.0.3,10.0.0.2,1,1,1024,274190
1466418507,10.0.0.2,10.0.0.3,1,1,1024,276053
1466418507,10.0.0.4,10.0.0.3,0.831,0.94,1308,276053
1466418507,10.0.0.5,10.0.0.3,1,1,1024,276053
1466418507,10.0.0.6,10.0.0.3,0.576,0.662,2680,276053
1466418507,10.0.0.3,10.0.0.4,0.94,0.831,1308,285147
1466418507,10.0.0.5,10.0.0.4,1,0.94,1088,285147
1466418507,10.0.0.3,10.0.0.5,1,1,1024,283644
1466418507,10.0.0.4,10.0.0.5,0.94,1,1088,283644
1466418507,10.0.0.6,10.0.0.5,1,0.886,1155,283644
1466418507,10.0.0.3,10.0.0.6,0.662,0.607,2541,0
1466418507,10.0.0.5,10.0.0.6,0.886,0.94,1227,0
1466418532,10.0.0.2,10.0.0.1,1,1,1024,273913
1466418532,10.0.0.1,10.0.0.2,1,1,1024,273794
1466418532,10.0.0.3,10.0.0.2,1,1,1024,273794
1466418532,10.0.0.2,10.0.0.3,1,1,1024,275657
1466418532,10.0.0.4,10.0.0.3,0.839,0.937,1301,275657
1466418532,10.0.0.5,10.0.0.3,0.831,0.662,1858,275657
1466418532,10.0.0.6,10.0.0.3,0.732,0.576,2422,275657
1466418532,10.0.0.3,10.0.0.4,0.937,0.788,1386,285699
1466418532,10.0.0.5,10.0.0.4,1,0.839,1220,285699
1466418532,10.0.0.3,10.0.0.5,0.662,0.831,1858,284146
1466418532,10.0.0.4,10.0.0.5,0.894,1,1145,284146
1466418532,10.0.0.6,10.0.0.5,1,0.878,1165,284146
1466418532,10.0.0.3,10.0.0.6,0.576,0.761,2334,0
1466418532,10.0.0.5,10.0.0.6,0.878,1,1165,0
1466418564,10.0.0.2,10.0.0.1,1,1,1024,268886
1466418564,10.0.0.1,10.0.0.2,1,1,1024,276647
1466418564,10.0.0.3,10.0.0.2,1,1,1024,276647
1466418564,10.0.0.2,10.0.0.3,1,1,1024,276700
1466418564,10.0.0.4,10.0.0.3,1,1,1024,276700
1466418564,10.0.0.5,10.0.0.3,1,1,1024,276700
1466418564,10.0.0.6,10.0.0.3,0.937,0.662,1648,276700
1466418564,10.0.0.3,10.0.0.4,1,1,1024,284037
1466418564,10.0.0.5,10.0.0.4,1,1,1024,284037
1466418564,10.0.0.3,10.0.0.5,1,1,1024,284496
1466418564,10.0.0.4,10.0.0.5,1,1,1024,284496
1466418564,10.0.0.6,10.0.0.5,1,0.894,1145,284496
1466418564,10.0.0.3,10.0.0.6,0.721,0.937,1514,0
1466418564,10.0.0.5,10.0.0.6,1,1,1024,0
1466418595,10.0.0.2,10.0.0.1,1,1,1024,237838
1466418595,10.0.0.1,10.0.0.2,1,1,1024,251066
1466418595,10.0.0.3,10.0.0.2,1,1,1024,251066
1466418595,10.0.0.2,10.0.0.3,1,1,1024,273993
1466418595,10.0.0.4,10.0.0.3,1,1,1024,273993
1466418595,10.0.0.5,10.0.0.3,1,1,1024,273993
1466418595,10.0.0.6,10.0.0.3,0.713,0.819,1750,273993
1466418595,10.0.0.3,10.0.0.4,1,1,1024,283943
1466418595,10.0.0.5,10.0.0.4,1,1,1024,283943
1466418595,10.0.0.3,10.0.0.5,0.886,1,1155,284044
1466418595,10.0.0.4,10.0.0.5,1,1,1024,284044
1466418595,10.0.0.6,10.0.0.5,1,1,1024,284044
1466418595,10.0.0.3,10.0.0.6,0.47,0.713,3048,0
1466418595,10.0.0.5,10.0.0.6,1,1,1024,0
1466418626,10.0.0.2,10.0.0.1,1,1,1024,260263
1466418626,10.0.0.1,10.0.0.2,1,1,1024,268741
1466418626,10.0.0.3,10.0.0.2,1,1,1024,268741
1466418626,10.0.0.2,10.0.0.3,1,1,1024,268996
1466418626,10.0.0.4,10.0.0.3,0.776,1,1318,268996
1466418626,10.0.0.5,10.0.0.3,0.944,0.894,1211,268996
1466418626,10.0.0.6,10.0.0.3,0.521,0.388,5057,268996
1466418626,10.0.0.3,10.0.0.4,1,0.776,1318,285999
1466418626,10.0.0.5,10.0.0.4,1,0.862,1186,285999
1466418626,10.0.0.3,10.0.0.5,0.886,0.944,1222,284446
1466418626,10.0.0.4,10.0.0.5,0.862,1,1186,284446
1466418626,10.0.0.6,10.0.0.5,0.894,1,1145,284446
1466418626,10.0.0.3,10.0.0.6,0.435,0.521,4510,0
1466418626,10.0.0.5,10.0.0.6,1,0.894,1145,0
1466418683,10.0.0.2,10.0.0.1,1,1,1024,279318
1466418683,10.0.0.1,10.0.0.2,1,1,1024,274783
1466418683,10.0.0.3,10.0.0.2,1,0.788,1299,274783
1466418683,10.0.0.2,10.0.0.3,0.839,0.944,1291,274691
1466418683,10.0.0.4,10.0.0.3,0.831,0.819,1502,274691
1466418683,10.0.0.5,10.0.0.3,0.831,0.521,2361,274691
1466418683,10.0.0.6,10.0.0.3,0.274,0.259,14412,274691
1466418683,10.0.0.3,10.0.0.4,0.819,0.886,1409,284235
1466418683,10.0.0.5,10.0.0.4,1,0.776,1318,284235
1466418683,10.0.0.3,10.0.0.5,0.607,0.831,2026,282682
1466418683,10.0.0.4,10.0.0.5,0.776,1,1318,282682
1466418683,10.0.0.6,10.0.0.5,0.776,0.886,1488,282682
1466418683,10.0.0.3,10.0.0.6,0.329,0.274,11324,0
1466418683,10.0.0.5,10.0.0.6,0.878,0.761,1532,0
1466418714,10.0.0.2,10.0.0.1,1,1,1024,248203
1466418714,10.0.0.1,10.0.0.2,1,1,1024,275689
1466418714,10.0.0.3,10.0.0.2,1,0.886,1155,275689
1466418714,10.0.0.2,10.0.0.3,0.94,1,1088,277002
1466418714,10.0.0.4,10.0.0.3,0.646,0.886,1785,277002
1466418714,10.0.0.5,10.0.0.3,0.701,0.701,2078,277002
1466418714,10.0.0.6,10.0.0.3,0.329,0.259,12010,277002
1466418714,10.0.0.3,10.0.0.4,0.886,0.721,1601,279612
1466418714,10.0.0.5,10.0.0.4,0.94,0.776,1401,279612
1466418714,10.0.0.3,10.0.0.5,0.682,0.721,2079,281328
1466418714,10.0.0.4,10.0.0.5,0.732,0.94,1483,281328
1466418714,10.0.0.6,10.0.0.5,0.94,0.886,1227,281328
1466418714,10.0.0.3,10.0.0.6,0.274,0.329,11324,0
1466418714,10.0.0.5,10.0.0.6,0.94,0.94,1156,0
1466418766,10.0.0.2,10.0.0.1,1,1,1024,278271
1466418766,10.0.0.1,10.0.0.2,1,1,1024,266607
