SystemTime,ipAdress,symmetric,multiPointRelay,multiPointRelaySelector,willingness,twoHopNeighborCount
1466418474,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418474,10.0.0.5,TRUE,FALSE,TRUE,3,2
1466418474,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418474,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418505,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418505,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418505,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418505,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418536,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418536,10.0.0.5,TRUE,FALSE,TRUE,3,2
1466418536,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418536,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418562,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418562,10.0.0.5,TRUE,FALSE,TRUE,3,2
1466418562,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418562,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418593,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418593,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418593,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418593,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418624,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418624,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418624,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418624,10.0.0.2,TRUE,TRUE,TRUE,3,2
1466418655,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418655,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418655,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418655,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418686,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418686,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418686,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418686,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418712,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418712,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418712,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418712,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418743,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418743,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418743,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418743,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418774,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418774,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418774,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418774,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418806,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418806,10.0.0.5,TRUE,TRUE,TRUE,3,2
1466418806,10.0.0.6,TRUE,FALSE,TRUE,3,1
1466418806,10.0.0.2,TRUE,TRUE,TRUE,3,1
1466418837,10.0.0.4,TRUE,FALSE,TRUE,3,1
1466418837,10.0.0.5,TRUE,TRUE,TRUE,3,3
1466418837,10.0.0.6,TRUE,FALSE,TRUE,3,1
